,Material,shape,minimum,location
0,Steel,Square,269.2068375342243,[0.18820721 0.0941036 ]
1,Aluminum,Square,125.3228985109061,[0.21544347 0.10772174]
2,Titanium,Square,81.04869297087174,[0.13572088 0.06786044]
3,Steel,circle,300.8905428002219,[0.22451871 0.11225936]
4,Aluminum,circle,140.07250077541607,[0.25700976 0.12850488]
5,Titanium,circle,90.58754195472115,[0.16190603 0.08095296]
6,Steel,triangle,22581.47151687225,[0.0164614  0.00950399]
7,Aluminum,triangle,2913.9371832428906,[0.00591331 0.00341405]
8,Titanium,triangle,123.1208340255941,[0.25420794 0.07338351]
9,Steel,beam,269.20632603490566,[0.18820721 0.09410289]
10,Aluminum,beam,125.3228139142508,[0.21544347 0.10772144]
11,Titanium,beam,81.04860381690874,[0.13572088 0.06786014]
